lfd_nr;thema_id;thema_name;zeile;kapitel;schwierigkeit;typ;zeichen;frage;loesung;einheit;anmerkung;erklaerung;hilfe;von;2;3;4;5;6;7;8;9
E024_Do;3;Elektrizitätslehre;2;Elektrostatik und Atombau;1;1;;Welche Teilchen befinden sich in der Atomhülle?;Elektronen;;;;;;Elektronen;;;;;;;
E025_Do;3;Elektrizitätslehre;6;Spannung, Stromstärke, Widerstand und ohmsches G;1;r;I=;Welche Stromstärke I, fließt durche eine Widerstand R={0}Ω bei einer Spannung U={1}V?;"4;0,8";A;;;;1834;"12;4";;;;;;;
E026_Do;3;Elektrizitätslehre;7;Parallel- und Reihenschaltung;1;lY;;Ergänze den Lückentext: Das Spannungsmessgerät wird im Stromkreis immer .... geschaltet und das Stromstärkemessgerät ... .;Das Spannungsmessgerät wird im Stromkreis immer <b>parallel</b> geschaltet und das Stromstärkemessgerät <b>in Reihe</b>.;;;;;1834;"Reihe; Serie; hintereinander";;;;;;;
M001_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;1;;Wie heißt die Einheit der Kraft ?;Newton;;;;;;;;;;;;;
M002_Do;4;Mechanik;3;Arbeit und Leistung;1;1;;Welche Einheit hat die Leistung ?;Watt;;;;;;;;;;;;;
M003_Do;4;Mechanik;3;Arbeit und Leistung;1;1;;Welche Abkürzung hat die Einheit der Leistung ?;W;;;;;;;;;;;;;
M004_Do;4;Mechanik;3;Arbeit und Leistung;1;1o3;;Mit welcher Formel berechnet man die mechanische Arbeit?;W=F*l;;;;;;W=Fl;W=F*s;;;;;;
M005_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;1;;Wie wird die Einheit der Masse abgekürzt ?;kg;;;;;;;;;;;;;
M006_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;1;;Woran kann man eine Kraft erkennen ?;Bewegungsänderung oder Verformung;;;;;;;;;;;;;
M007_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;1o2;;Wie heißt das Messgerät mit dem man Kräfte misst?;Federwaage;;;;;;;;;;;;;
M008_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;1;;Mit welcher Waage bestimmt man die Masse?;Balkenwaage;;;;;;;;;;;;;
M009_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;1o3;;Wie groß ist die Masse von 1 Liter Wasser ?;m=1 kg;;;;;;1kg;1 Kilogramm;Ein Kilogramm;;;;;
M010_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;1;;Wie viel Kubikzentimeter entsprechen 1 Liter Wasser ?;1000;;;;;;;;;;;;;
M011_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;1o2;;Welche Dichte hat Wasser ?;1 g/cm³;;;;;;;;;;;;;
M012_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;1o2;;Welche Masse hat 1 m³ Wasser ?;1000kg;;;;;;;;;;;;;
M013_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;w;;Hat ein Liter Wasser auf einem Berg die gleiche Masse wie auf Meereshöhe ?;wahr;;;;;;;;;;;;;
M014_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;w;;Hat ein Liter Wasser auf einem Berg die gleiche Masse wie auf Meereshöhe ?;falsch;;;;;;;;;;;;;
M015_Do;4;Mechanik;1;Kraft, Masse und Gewicht;1;1o3;;Wie lautet das Hooksche Gesetz ?;Die Ausdehnung einer Feder ist proportional zur angreifenden Kraft;;;;;;l~F;proportional;;;;;;
M016_Do;4;Mechanik;2;einfache Maschinen;1;p1o2;;Mit welcher Kraft muss man ziehen, wenn man einen Flaschenzug mit 4 Seilen (Rollen) einsetzt?;Ein Viertel;;(Die Masse der losen Rollen, sowie die Reibung werden nicht berücksichtigt);;;;¼;;;;;;;
M017_Do;4;Mechanik;3;Arbeit und Leistung;1;1;;Wie wird die Einheit der Kraft abgekürzt ?;N;;;;;;;;;;;;;
M018_Do;4;Mechanik;3;Arbeit und Leistung;1;1;;Wie heißt die Einheit der Arbeit ?;Newtonmeter;;;;;;;;;;;;;
M019_Do;4;Mechanik;3;Arbeit und Leistung;1;1;;Wie heißt die Einheit der Leistung ?;Watt;;;;;;;;;;;;;
M020_Do;4;Mechanik;3;Arbeit und Leistung;1;1;;Wie wird die Einheit der Arbeit abgekürzt ?;Nm;;;;;;;;;;;;;
M021_Do;4;Mechanik;3;Arbeit und Leistung;1;1;;Wie wird die Einheit der Leistung abgekürzt ?;Watt;;;;;;;;;;;;;
M022_Do;4;Mechanik;3;Arbeit und Leistung;1;1;;Welche Einheit hat die Arbeit ?;Newtonmeter;;;;;;;;;;;;;
M023_Do;4;Mechanik;3;Arbeit und Leistung;1;1;;Wie wird die Einheit der Arbeit abgekürzt ?;Nm;;;;;;;;;;;;;
M024_Do;4;Mechanik;2;einfache Maschinen;1;p;;Bei welchem der Hebel handelt es sich um einen einseitigen Hebel?;;;;Das ist ein zweiseitiger Hebel. Bei zweiseitigen Hebeln liegt der Drehpunkt in der Mitte. Wenn man auf der einen Site runterdrückt, bewegt sich die andere Seite nach oben.;;1834;;;;;;;;
M025_Do;4;Mechanik;2;einfache Maschinen;1;r;F=;Bei all diesen Hebeln gilt das Hebelgesetz. Berechne die Kraft F₁, wenn die Last F₂={0}N beträgt, der Lastarm l₂={1}m und der Kraftarm l₁={2}m lang ist.;20;N;;;;1834;0,30;0,03;;;;;;
M026_Do;4;Mechanik;2;einfache Maschinen;1;p;;Hier siehst du drei Seilmaschinen. Mit genau einer davon benötigt man zum Anheben de Gewichtes nur die Hälfte der Kraft.;;;(Das Gewicht der Rollen wird nicht berücksichtigt);;;1834;;;;;;;;
O0001_Do;2;Optik;1;Licht und Schatten;1;1;;Wie heißt die Konvexlinse auf deutsch?;Sammellinse;;;;;;;;;;;;;
O0002_Do;2;Optik;1;Licht und Schatten;1;(1o3)o(3u4)f5;;Warum werden dunkle Körper in der Sonne schneller warm?         Ergänze: Weil sie das Sonnenlicht …;absorbieren;;;„Anziehen“ würde bedeuten, dass die Lichtstahlen von ihrem geraden Weg abwichen.;;;schlucken;absorbier;nicht;reflektieren;anzieh;;;
O0003_Do;2;Optik;1;Licht und Schatten;1;1o2;;Wie breitet sich Licht aus?;geradlinig;;;;;;gerade;;;;;;;
O0004_Do;2;Optik;4;Linsen;1;1o2;;Wenn eine Lichtquelle  einen undurchsichtigen Körper beleuchtet, entsteht hinter dem Körper ein...;Schatten;;;;;;Kernschatten;;;;;;;
O0005_Do;2;Optik;2;Reflektion;1;a;;Wie erhältst du einen möglichst großen Schatten?;Der Gegenstand muss nah an der Lichtquelle stehen.;;;;;;Der Gegenstand muss von der Lichtquelle weit entfernt stehen.;;;;;;;
O0006_Do;2;Optik;1;Licht und Schatten;1;1o(2u4);;Wie heißen die beiden Schattenbereiche, die entstehen, wenn Licht aus zwei Lichtquellen auf einen lichtundurchlässigen Körper trifft?;Kernschatten und Halbschatten;;;;;;Kern;Halb;schatten;;;;;
O0007_Do;2;Optik;1;Licht und Schatten;1;1o5Y;;Wie lange braucht die Erde um sich einmal um die eigene Achse zu drehen?;24 Stunden;;;;;;24h;25 Stunden;25h;;;;;
O0008_Do;2;Optik;1;Licht und Schatten;1;1o3;;Wie lange braucht der Mond um sich einmal um die Erde zu drehen?;1 Monat;;;;;;27 Tage;27d;einen Monat;;;;;
O0009_Do;2;Optik;1;Licht und Schatten;1;1o3;;Wie lange braucht die Erde um sich einmal um die Sonne zu drehen?;1 Jahr;;;;;;365,25d;365 Tage 6 Stunden;;;;;;
O0010_Do;2;Optik;1;Licht und Schatten;1;a;;Was steht bei einer Sonnenfinsternis in der Mitte?;Mond;;;;;;Erde;Sonne;;;;;;
O0011_Do;2;Optik;1;Licht und Schatten;1;a;;Was steht bei einer Mondfinsternis in der Mitte?;Erde;;;;;;Mond;Sonne;;;;;;
O0012_Do;2;Optik;2;Reflektion;2;1o2;;Dunkle Flächen ... das Licht.;absorbieren;;;;;;schlucken;;;;;;;
O0013_Do;2;Optik;2;Reflektion;1;1;;Helle Flächen ... das Licht besser als dunkle Flächen.;reflektieren;;;;;;;;;;;;;
O0014_Do;2;Optik;4;Linsen;1;1;;Wie heißt die Konkavlinse auf deutsch?;Zerstreuungslinse;;;;;;;;;;;;;
O0015_Do;2;Optik;2;Reflektion;2;l(1o3)f(4o5);;Das Bild eines nach außen gewölbter Spiegel ist …;aufrecht, verkleinert;;;;;;aufrecht;kleiner;umgekehrt;vergrößert;;;;
O0016_Do;2;Optik;2;Reflektion;2;l(1o3)f(4o5);;Das Bild eines nach innen gewölbter Spiegel ist …;vergrößert, umgekehrt;;;;;;umgekehrt;gößer;aufrecht;verkleinert;;;;
O0017_Do;2;Optik;4;Linsen;1;1;;Wie heißt die Stelle hinter einer Sammellinse, bei der parallele Lichtstrahlen vereinigt werden?;Brennpunkt;;;;;;;;;;;;;
O0018_Do;2;Optik;6;optische  Geräte;1;a;;Wer kurzsichtig ist, sieht...;Nahes scharf und Fernes unscharf;;;;;;Fernes scharf und Nahes unscharf;;;;;;;
O0019_Do;2;Optik;6;optische  Geräte;1;a;;Wer weitsichtig ist, sieht...;Fernes scharf und Nahes unscharf;;;;;;Nahes scharf und Fernes unscharf;;;;;;;
O0020_Do;2;Optik;3;Brechung;1;1o(2u7)f8;;Wenn Sonnenlicht durch ein Prisma zerlegt wird entstehen die Spektralfarben. Zähle diese auf (Nur die sichtbaren). Beginne mit rot:;rot, orange, gelb, grün, blau, violett;;;benutze anstelle von „lila“ den Namen „violett“;;;rot;orange;gelb;grün;blau;violett;lila;
O0021_Do;2;Optik;3;Brechung;1;a;;Warum wird weißes Licht in einem Prisma in die Spektralfarben zerlegt?;In einem Prisma werden die Spektralfarben unterschiedlich stark gebrochen.;;;;;;Im Prisma werden die Spektralfarben zum weißen Licht dazugemischt.;;;;;;;
O0022_Do;2;Optik;1;Licht und Schatten;1;w;;Der Mond ist ein selbstleuchtender Körper. (wahr/falsch);falsch;;;;;;;;;;;;;
O0023_Do;2;Optik;2;Reflektion;1;w;;Spiegel absorbieren das Licht. (wahr/falsch);falsch;;;;;;;;;;;;;
O0024_Do;2;Optik;1;Licht und Schatten;1;w;;Der Mond erzeugt kein Licht. (wahr/falsch);wahr;;;;;;;;;;;;;
O0025_Do;2;Optik;1;Licht und Schatten;1;w;;Das Auge ist ein Lichtempfänger. (wahr/falsch);wahr;;;;;;;;;;;;;
O0026_Do;2;Optik;1;Licht und Schatten;1;1o2;;Wie nennt man Gegenstände, die wie die Sonne oder eine Kerze eigenes Licht aussenden?;Lichtquellen;;;;;;Lichtquelle;;;;;;;
O0027_Do;2;Optik;1;Licht und Schatten;1;1o2;;Wie nennt man Körper, die kein eigenes Licht aussenden, sondern das Licht von Lichtquellen zurückwerfen?;beleuchtete Körper;;;;;;beleuchtete Gegenstände;;;;;;;
O0028_Do;2;Optik;2;Reflektion;1;a;;Wie lautet das Reflexionsgesetz für Lichtstrahlen?;Einfallswinkel ist gleich Reflexionswinkel;;;;;;Einfallswinkel ist größer als der Reflexionswinkel;Einfallswinkel ist kleiner als der Reflexionswinkel;;;;;;
O0029_Do;2;Optik;2;Reflektion;1;1:1;;Wie nennt man das unsichtbare Lot, das senkrecht auf der Spiegeloberfläche steht?;Einfallslot;;;;;;;;;;;;;
O0030_Do;2;Optik;2;Reflektion;1;a;;Was passiert, wenn Licht auf eine raue Oberfläche (wie eine weiße Wand) trifft?;Das Licht wird diffus in alle Richtungen gestreut.;;;;;;Das Licht wird exakt in eine Richtung gespiegelt.;Das Licht wird vollständig verschluckt.;;;;;;
O0031_Do;2;Optik;3;Brechung;1;a;;Was passiert mit einem Lichtstrahl, der schräg von Luft in Glas übergeht?;Er wird zum Einfallslot hin gebrochen.;;;;;;Er wird vom Einfallslot weg gebrochen.;Er läuft ohne Richtungsänderung geradeaus weiter.;;;;;;
O0032_Do;2;Optik;3;Brechung;1;a;;Unter welcher Bedingung wird ein Lichtstrahl beim Übergang zwischen zwei Medien NICHT gebrochen?;Wenn er senkrecht auf die Oberfläche trifft.;;;;;;Wenn er extrem flach auf die Oberfläche trifft.;Licht wird an Grenzen immer gebrochen.;;;;;;
O0033_Do;2;Optik;4;Linsen;1;1:1;;Welche Linsenform ist in der Mitte dünner als am Rand?;Konkavlinse;;;;;;;;;;;;;
O0034_Do;2;Optik;6;optische  Geräte;1;1o2;;Welcher Teil des menschlichen Auges entspricht in seiner Funktion dem Film einer alten Kamera oder dem Sensor einer Digitalkamera?;Netzhaut;;;;;;Retina;;;;;;;
O0035_Do;2;Optik;6;optische  Geräte;1;w;;Eine Lupe besteht aus einer Konkavlinse. (wahr/falsch);falsch;;;;;;;;;;;;;
W001_Do;1;Wärmelehre;1;Temperatur und Thermometer;2;1o4X;;Bei welcher Temperatur liegt der absolute Nullpunkt?;-273°C;;;Kälter geht es nicht.;;;Null Kelvin;0K;-273,15°C;;;;;
W002_Do;1;Wärmelehre;1;Temperatur und Thermometer;2;1o4Y;;Wie ändert sich die Temperatur von Eis wenn man Salz darauf streut?;sie wird niedriger;;;Da man Salz auf die Straßen streut um das Eis aufzutauen, sollte man meinen, die Temperatur würde steigen. Das stimmt aber nicht – Wasser + Salz ergibt Salzwasser und Salzwasser hat einen niedrigeren Gefriepunkt als reines Wasser. Da also Salzwasser entsteht und dieses bei der Temperatur auf der Straße noch nicht gefriert, taut das Eis auf – zum Auftauen wird Energie benötigt, daher sinkt die Temperatur.;;;sie fällt;sie sinkt;kälter;;;;;
W003_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1o(2u3)o(4u5);;Bei welchen Temperaturen liegen die Fixpunkte der Celsiusskala?;0°C und 100°C;;;Es ist die Siedetemperatur von Wasser und die Schmelztemperatur von Wasser;;;0°C;100°C;0°Celsius;100°Celsius;;;;
W004_Do;1;Wärmelehre;3;Anomalie des Wassers;2;a;;Warum müssen Wasserleitungen immer mindestens 80 cm tief im Erdboden eingegraben werden?;Damit sie im Winter nicht einfrieren.;;;in dieser Tiefe gefriert die Erde nicht;;;Damit das Wasser im Sommer nicht so heiß wird und die Leitung nicht platzt;Damit sie beim Graben mit Bagerrn nicht kaputt gemacht werden.;Damit kaltes Wasser aus dem Kaltwasserhahn kommt;;;;;
W005_Do;1;Wärmelehre;2;Ausdehnung;3;(2o3)u(4u5);;Warum findet man nach dem Winter oft Löcher im Asphalt?;Beim Gefrieren dehnt sich Wasser unter der Straße aus;;;;;;Wasser;Eis;dehnt;aus;;;;
W006_Do;1;Wärmelehre;1;Temperatur und Thermometer;2;1o4;;Welche Temperaturskala wird in der Wissenschaft benutzt?;Kelvin;;;;;;K;Grad Kelvin;Kelvinskala;;;;;
W007_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1o3;;Welche Temperatur hat Wasser wenn es siedet?;100°C;;Bei normalem Luftdruck (1020hPa);;;;100°Celsius;373K;;;;;;
W008_Do;1;Wärmelehre;5;Wärmeausbreitung;2;3u(4o5)Y;;Warum plustern sich Vögel im Winter auf ?;Die Luft im Gefieder isoliert;;;In das aufgeplusterte Gefieder passt mehr Luft;;;Die Luft im Gefieder ist ein schlechter Wärmeleiter;Luft;mehr;isoliert;;;;
W009_Do;1;Wärmelehre;5;Wärmeausbreitung;1;3u(4o6)Y;;Wieso wärmt ein Wollpullover im Winter ?;Die Luft in der Wolle isoliert;;;In der Wolle ist viel Luft;;;Die Luft in der Wolle ist ein schlecher Wärmeleiter;Luft;mehr;isoliert;schlechter Wärmeleiter;;;
W010_Do;1;Wärmelehre;5;Wärmeausbreitung;2;3u(4o5)Y;;Wieso bekommen Tiere im Winter ein Winterfell ?;Die Luft im Fell isoliert;;;Die kurzen Haare des Sommerfells werden durch lange Haare ersetzt;;;Die Luft im Fell ist ein schlechter Wärmeleiter;Luft;mehr;isoliert;;;;
W011_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1o2;;Wer hat unsere Temperaturskala erfunden ?;Anders Celsius;;;;;;Celsius;;;;;;;
W012_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1o2;;Welche Temperatur hat Eiswasser (Wasser in dem Eis schwimmt)?;0°C;;;;;;0°Celsius;;;;;;;
W013_Do;1;Wärmelehre;3;Anomalie des Wassers;1;a;;Warum platzen Wasserflaschen und Wasserleitungen, die im Winter für einige Zeit Frost ausgesetzt sind?;Wasser dehnt sich beim Gefrieren aus;;;;;;Wasser zieht sich beim Gefrieren zusammen;Das Glas und die Röhern gehen bei Kälte kaputt;;;;;;
W014_Do;1;Wärmelehre;2;Ausdehnung;2;1o3Y;;Warum finden sich an den Enden von Brücken oft kammförmige Fugen?;damit die Brücke sich beim Erwärmen ausdehnen kann;;;;;;ausdehn;länger;;;;;;
W015_Do;1;Wärmelehre;2;Ausdehnung;1;1o(2u(3o5))Y;;Warum soll man nach dem Tanken das Auto nicht auf dem Parklatz in die Sonne stellen ?;Weil sich das Benzin beim Erwärmen ausdehnt;;;;;;dehnt;Wärme;warm;Erwärmung;;;;
W016_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1o1;;Wie heißt das Messgerät mit dem man Temperaturen misst ?;Thermometer;;;;;;;;;;;;;
W017_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1o2;;Welches ist der Gefrierpunkt von Wasser ?;0°C;;;;;;0°Celsius;;;;;;;
W018_Do;1;Wärmelehre;1;Temperatur und Thermometer;3;1o6;;Warum wird beim Straßenbau immer zuerst ein Schotterbett aus Steinbrocken unter der zukünftigen Straße aufgeschüttet?;Damit das Wasser unter der Straße versickern kann;;;Wenn im Winter Wasser unter dem Asphalt ist und dieses gefriert, dehnt es sich aus und der Asphalt platzt auf. Dadurch kann noch mehr Wasser eindringen.;;;versickern;weglaufen;Schlagl;Löcher;Risse;;;
W019_Do;1;Wärmelehre;1;Temperatur und Thermometer;2;1o2;;Wie heißt die wissenschaftliche Temperatureinheit ?;Kelvin;;;Bei dieser Temperaturskala heißt der absolute Nullpunkt 0 K (Null Kelvin) – kälter geht nicht. Dieser liegt bei -273,15°C.;Es gibt folgende Temperaturskalen : Reaumur, Fahrenheit, Celsius und Kelvin.;;Grad Kelvin;;;;;;;
W020_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1o1;;Wie nennt man so ein Gerät ?;Thermometer;;;;;;;;;;;;;
W021_Do;1;Wärmelehre;1;Temperatur und Thermometer;3;1o3Y;;Warum streut man bei Glatteis Salz auf die Straße?;Das Eis taut auf;;;Da man Salz auf die Straßen streut um das Eis aufzutauen, sollte man meinen, die Temperatur würde steigen. Das stimmt aber nicht – Wasser + Salz ergibt Salzwasser und Salzwasser hat einen niedrigeren Gefriepunkt als reines Wasser. Da also Salzwasser entsteht und dieses bei der Temperatur auf der Straße noch nicht gefriert, taut das Eis auf.;;;taut;schmilzt;;;;;;
W022_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;p;;Bei welchem Gerät handelt es sich nicht um einen Thermometer?;;;;Das ist ein Barometer. Man misst mit ihm den Luftdruck.;;;;;;;;;;
W023_Do;1;Wärmelehre;1;Temperatur und Thermometer;1;1o2f3Y;;Was passiert mit Wasser bei 100°C?;Es siedet;;;Der Begriff 'kochen' kommt aus der Küche. In der Naturwisseenschaft sagt man 'sieden'.;;;siedet;kocht;;;;;;
W024_Do;1;Wärmelehre;2;Ausdehnung;1;1o4f4o5Y;;Wie verändert sich das Volumen eines Körpers, wenn sich der Körper erwärmt?;Das Volumen wird größer;;;;;;größer;mehr;dehnt;weniger;kleiner;;;
W025_Do;1;Wärmelehre;4;Aggregatzustände;1;1o2f3;;Wie verändert sich die Geschwindigkeit der Teilchen, wenn es zu einer Temperaturerhöhung kommt?;Die Teilchen werden schneller;;;;;;schneller;langsamer;;;;;;
W026_Do;1;Wärmelehre;2;Ausdehnung;2;1o2Z;;Von welchem Koeffizienten hängt die Volumenänderung von Flüssigkeiten ab?;Raumausdehnungskoeffizient;;;;;;ausdehnungskoeffizien;;;;;;;
W027_Do;1;Wärmelehre;3;Anomalie des Wassers;1;1o2;;Bei wie viel Grad Celsius, hat Wasser das geringste Volumen?;4°C;;;;;;4°Celsius;;;;;;;
W028_Do;1;Wärmelehre;2;Ausdehnung;1;a;;Wo dehnt sich das Volumen bei einer Temperaturerhöhung am meisten aus?;Gase;;;;;;Flüssigkeiten;feste Körper;;;;;;
W029_Do;1;Wärmelehre;3;Anomalie des Wassers;1;1o3;;Wie verändert sich das Volumen von Wasser, wenn es auf unter 0° Celsius abkühlt?;Das Volumen wird größer;;;;;;größer;mehr;;;;;;
W030_Do;1;Wärmelehre;2;Ausdehnung;1;1o3f4o6Y;;(Fast alle) feste körper dehnen sich aus, wenn sie .... werden;erwärmt;;;;;;warm;wärmer;abkühlt;kalt;kälter;;;
W031_Do;1;Wärmelehre;2;Ausdehnung;1;1o3;;(Fast alle) feste Körper ziehen sich zusammen, wenn sie ... werden.;abgekühlt;;;;;;kalt;kälter;;;;;;
W032_Do;1;Wärmelehre;5;Wärmeausbreitung;1;1o3Y;;Nenne den Fachbegriff, wenn Wärme zusammen mit einem Stoff transportiert wird?;Wärmeströmung oder Konvektion;;;;;;Wärmeströmung;Konvektion;;;;;;
W033_Do;1;Wärmelehre;5;Wärmeausbreitung;1;1Y;;Man spricht von ... wenn Stoffe Wärme weitergeben, ohne dass sie sich selbst mitbwegen.;Wärmeleitung;;;;;;;;;;;;;
W034_Do;1;Wärmelehre;5;Wärmeausbreitung;1;a;;Welcher Stoff leitet Wärme am besten weiter?;Messing;;;;;;Holz;Glas;Eis;;;;;
W035_Do;1;Wärmelehre;5;Wärmeausbreitung;2;a;;Welcher Stoff leitet Wärme am besten weiter?;Aluminium;;;;;;Stahl;Messing;Blei;;;;;
W036_Do;1;Wärmelehre;5;Wärmeausbreitung;2;a;;Welcher Stoff leitet Wärme am besten weiter?;Wasser;;;;;;Luft;Holz;Kunststoff;;;;;
